lebwohl_lasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.525, Time: 33.687183 s
         4000197 function calls (3976313 primitive calls) in 36.599 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5621    0.002    0.000    0.002    0.000 typing.py:1577(<genexpr>)
      521    0.002    0.000    0.005    0.000 _ufunc_config.py:441(__enter__)
      710    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
2254/2074    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      383    0.002    0.000    0.130    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
 1240/409    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
       19    0.002    0.000    0.002    0.000 arrayprint.py:1668(_guarded_repr_or_str)
       60    0.002    0.000    0.007    0.000 lines.py:672(recache)
      264    0.002    0.000    0.034    0.000 markers.py:220(__init__)
      261    0.002    0.000    0.003    0.000 _shape_base_impl.py:633(column_stack)
       12    0.002    0.000    0.010    0.001 axis.py:1538(get_minorticklocs)
       92    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        2    0.002    0.001    0.003    0.002 quiver.py:653(_make_verts)
       44    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.point_in_path}
       12    0.002    0.000    0.002    0.000 backend_agg.py:93(draw_path)
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
     7315    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      346    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     2255    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      894    0.002    0.000    0.016    0.000 colors.py:277(to_rgba)
     6243    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
   366/14    0.002    0.000    1.031    0.074 <frozen importlib._bootstrap>:911(_load_unlocked)
      441    0.002    0.000    0.004    0.000 typing.py:175(_type_check)
     6194    0.002    0.000    0.002    0.000 _parser.py:240(__next)
       70    0.002    0.000    0.013    0.000 patches.py:800(get_patch_transform)
      528    0.002    0.000    0.003    0.000 font_manager.py:700(__hash__)
      366    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      365    0.002    0.000    0.002    0.000 __init__.py:65(check_isinstance)
       24    0.002    0.000    0.011    0.000 ticker.py:2157(_raw_ticks)
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
      144    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
      168    0.002    0.000    0.004    0.000 artist.py:1167(update_from)
      522    0.002    0.000    0.002    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
       44    0.002    0.000    0.016    0.000 enum.py:515(__new__)
       25    0.002    0.000    0.002    0.000 {built-in method unicodedata.name}
     8325    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     5105    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      710    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:162(__enter__)
      266    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
1747/1651    0.001    0.000    0.012    0.000 {built-in method builtins.next}
      242    0.001    0.000    0.005    0.000 typing.py:262(_collect_parameters)
     3287    0.001    0.000    0.002    0.000 inspect.py:3062(<genexpr>)
     2134    0.001    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
     1111    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
     2178    0.001    0.000    0.003    0.000 typing.py:1117(_is_dunder)
      361    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      490    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
     7097    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
      264    0.001    0.000    0.030    0.000 markers.py:299(_set_marker)
  124/104    0.001    0.000    0.003    0.000 transforms.py:2431(get_affine)
     5101    0.001    0.000    0.003    0.000 _parser.py:261(get)
     3730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      620    0.001    0.000    0.004    0.000 transforms.py:1886(__init__)
      320    0.001    0.000    0.004    0.000 transforms.py:749(__init__)
      237    0.001    0.000    0.014    0.000 typing.py:1223(__init__)
      265    0.001    0.000    0.014    0.000 overrides.py:142(decorator)
  435/209    0.001    0.000    0.023    0.000 _parser.py:452(_parse_sub)
      534    0.001    0.000    0.001    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      793    0.001    0.000    0.002    0.000 inspect.py:747(unwrap)
      626    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       33    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
       24    0.001    0.000    0.003    0.000 util.py:209(_collapse_string_to_ranges)
 1971/382    0.001    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
       43    0.001    0.000    0.002    0.000 function_base.py:25(linspace)
     1932    0.001    0.000    0.001    0.000 transforms.py:110(__init__)
      313    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
  114/102    0.001    0.000    0.005    0.000 _base.py:851(_unstale_viewLim)
     2569    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.001    0.001    0.003    0.003 dviread.py:1(<module>)
      735    0.001    0.000    0.002    0.000 enum.py:79(_is_private)
     5534    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
  128/117    0.001    0.000    0.039    0.000 _docstring.py:122(__call__)
     1114    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      505    0.001    0.000    0.001    0.000 _linalg.py:198(_assert_stacked_square)
   450/68    0.001    0.000    0.860    0.013 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      853    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
