lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.326, Time: 1.281241 s
         1839736 function calls (1807021 primitive calls) in 2.903 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1589    0.001    0.000    0.001    0.000 utils.py:445(__setitem__)
       55    0.001    0.000    0.002    0.000 __init__.py:347(__new__)
     3159    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
  770/764    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
        1    0.001    0.001    0.006    0.006 artist.py:1(<module>)
      238    0.001    0.000    0.018    0.000 extending.py:207(decorate)
      977    0.001    0.000    0.024    0.000 __init__.py:748(__setitem__)
     2844    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     1621    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:632(cached)
     1534    0.001    0.000    0.001    0.000 context.py:478(_lookup_global)
      238    0.001    0.000    0.001    0.000 core.py:457(__init__)
     2911    0.001    0.000    0.003    0.000 castgraph.py:48(get)
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
     1577    0.001    0.000    0.007    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.002    0.002 ipaddress.py:1(<module>)
      885    0.001    0.000    0.002    0.000 __init__.py:103(find_spec)
     1150    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
  340/272    0.001    0.000    0.025    0.000 typing.py:378(inner)
      238    0.001    0.000    0.067    0.000 templates.py:1100(_init_once)
     1039    0.001    0.000    0.001    0.000 imputils.py:28(lower)
      245    0.001    0.000    0.065    0.000 templates.py:907(_get_target_registry)
     1955    0.001    0.000    0.001    0.000 abstract.py:20(_autoincr)
      356    0.001    0.000    0.003    0.000 inspect.py:798(_finddoc)
      553    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     1553    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        3    0.001    0.000    0.040    0.013 core.py:1(<module>)
     1227    0.001    0.000    0.003    0.000 templates.py:1248(register)
     1666    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
        1    0.001    0.001    0.002    0.002 dviread.py:1(<module>)
      881    0.001    0.000    0.197    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
      953    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
     9723    0.001    0.000    0.001    0.000 inspect.py:2782(name)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
      222    0.001    0.000    0.001    0.000 templates.py:1276(Template)
     1685    0.001    0.000    0.001    0.000 event.py:270(on_end)
  128/117    0.001    0.000    0.032    0.000 _docstring.py:122(__call__)
     2686    0.001    0.000    0.001    0.000 util.py:201(__call__)
       64    0.001    0.000    0.005    0.000 deprecation.py:414(make_keyword_only)
      769    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1186    0.001    0.000    0.001    0.000 base.py:138(append)
      186    0.001    0.000    0.008    0.000 colors.py:324(_to_rgba_no_colorcycle)
        8    0.001    0.000    0.002    0.000 enum.py:1682(convert_class)
      866    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
     1845    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
     2927    0.001    0.000    0.002    0.000 castgraph.py:65(__getitem__)
      913    0.001    0.000    0.037    0.000 inspect.py:3325(signature)
      319    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
     2328    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      100    0.001    0.000    0.010    0.000 pyplot.py:209(_add_pyplot_note)
      581    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
    13/12    0.001    0.000    0.237    0.020 utils.py:687(__init__)
     2477    0.001    0.000    0.002    0.000 target_extension.py:47(current_target)
     1034    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
     3126    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     2167    0.001    0.000    0.018    0.000 ffi.py:139(__getattr__)
     1039    0.001    0.000    0.001    0.000 imputils.py:37(decorate)
      136    0.001    0.000    0.001    0.000 pathlib.py:387(_parse_path)
     1751    0.001    0.000    0.006    0.000 base.py:1246(enter_fn)
      913    0.001    0.000    0.036    0.000 inspect.py:3067(from_callable)
      566    0.001    0.000    0.001    0.000 typing.py:1159(__getattr__)
      553    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
       66    0.001    0.000    0.001    0.000 imputils.py:144(_decorate_getattr)
    248/3    0.001    0.000    0.078    0.026 context.py:394(_load_builtins)
        1    0.001    0.001    0.001    0.001 _color_data.py:1(<module>)
      456    0.001    0.000    0.015    0.000 artist.py:1530(number_of_parameters)
        6    0.001    0.000    0.002    0.000 {built-in method _pickle.loads}
     1751    0.001    0.000    0.007    0.000 base.py:1249(exit_fn)
     2238    0.001    0.000    0.001    0.000 inspect.py:371(isfunction)
      319    0.001    0.000    0.015    0.000 extending.py:157(wrap)
3428/3422    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      882    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      121    0.001    0.000    0.012    0.000 typing.py:673(Union)
     1251    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      149    0.001    0.000    0.061    0.000 __init__.py:226(compile)
       42    0.001    0.000    0.010    0.000 dispatcher.py:757(__init__)
      882    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      274    0.001    0.000    0.001    0.000 <frozen posixpath>:71(join)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
       78    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1984    0.001    0.000    0.003    0.000 base.py:372(_insert_getattr_defn)
      356    0.001    0.000    0.001    0.000 inspect.py:788(_findclass)
      462    0.001    0.000    0.009    0.000 colors.py:277(to_rgba)
      445    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
     7763    0.001    0.000    0.001    0.000 inspect.py:2794(kind)
      897    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:420(__exit__)
      984    0.001    0.000    0.012    0.000 artist.py:1536(is_alias)
      307    0.001    0.000    0.031    0.000 _compiler.py:573(_code)
     1093    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
     1740    0.001    0.000    0.001    0.000 {built-in method sys.intern}
      121    0.001    0.000    0.005    0.000 extending.py:352(_register)
      227    0.001    0.000    0.070    0.000 artist.py:1413(__init__)
      120    0.001    0.000    0.205    0.002 artist.py:1832(kwdoc)
       78    0.001    0.000    0.001    0.000 {built-in method _ctypes.POINTER}
     1510    0.001    0.000    0.001    0.000 context.py:422(is_for_this_target)
     1375    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     1553    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      581    0.001    0.000    0.001    0.000 registry.py:67(__getitem__)
      121    0.001    0.000    0.003    0.000 templates.py:1009(make_intrinsic_template)
      126    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       42    0.001    0.000    0.001    0.000 dispatcher.py:199(__init__)
      421    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      415    0.001    0.000    0.005    0.000 value.py:231(is_declaration)
     2047    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
      445    0.001    0.000    0.004    0.000 core.py:519(copy)
        7    0.001    0.000    0.015    0.002 codegen.py:1095(_load_defined_symbols)
        1    0.001    0.001    0.185    0.185 old_arraymath.py:1(<module>)
      885    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
     2324    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     3370    0.001    0.000    0.001    0.000 event.py:138(is_start)
     1568    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
     1685    0.001    0.000    0.001    0.000 event.py:265(on_start)
      138    0.001    0.000    0.001    0.000 _docscrape.py:168(_is_at_section)
       64    0.001    0.000    0.005    0.000 util.py:361(replaced_by_pep8)
      720    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      251    0.001    0.000    0.001    0.000 misc.py:124(__init__)
     1694    0.001    0.000    0.001    0.000 unicode.py:63(<genexpr>)
        1    0.001    0.001    0.001    0.001 lebwohl_lasher_p_numba.py:45(init_lattice)
      121    0.001    0.000    0.007    0.000 extending.py:435(_intrinsic)
      763    0.001    0.000    0.001    0.000 enum.py:38(_is_descriptor)
      105    0.001    0.000    0.260    0.002 artist.py:125(__init_subclass__)
      426    0.001    0.000    0.010    0.000 rcsetup.py:332(validate_color)
      607    0.001    0.000    0.002    0.000 __init__.py:179(sub)
      245    0.001    0.000    0.070    0.000 templates.py:1054(__init__)
      307    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       37    0.000    0.000    0.001    0.000 function_base.py:25(linspace)
      888    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      910    0.000    0.000    0.001    0.000 enum.py:48(_is_dunder)
      162    0.000    0.000    0.003    0.000 typing.py:317(_deduplicate)
   274/19    0.000    0.000    0.001    0.000 ast.py:409(generic_visit)
     1984    0.000    0.000    0.003    0.000 base.py:376(_insert_setattr_defn)
      123    0.000    0.000    0.001    0.000 enum.py:995(_find_data_type_)
      926    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.007    0.007 arrayobj.py:1(<module>)
     1984    0.000    0.000    0.003    0.000 base.py:380(_insert_cast_defn)
       91    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
      953    0.000    0.000    0.001    0.000 enum.py:59(_is_sunder)
       19    0.000    0.000    0.007    0.000 rcsetup.py:814(validate_cycler)
     1299    0.000    0.000    0.000    0.000 __init__.py:678(_set)
     1984    0.000    0.000    0.003    0.000 base.py:384(_insert_get_constant_defn)
  317/296    0.000    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
     1577    0.000    0.000    0.007    0.000 <frozen abc>:117(__instancecheck__)
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1564(__init__)
      885    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      113    0.000    0.000    0.004    0.000 rcsetup.py:99(f)
