lebwohl_lasher_p_numba.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.365, Time: 6.711746 s
         7901459 function calls (7561971 primitive calls) in 12.662 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      168    0.007    0.000    0.016    0.000 compiler_machinery.py:369(dependency_analysis)
     3620    0.007    0.000    0.030    0.000 base.py:103(_match_arglist)
 1272/422    0.007    0.000    1.522    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
     5657    0.007    0.000    0.009    0.000 controlflow.py:383(_dfs)
     7517    0.007    0.000    0.114    0.000 inspect.py:860(getdoc)
     8182    0.007    0.000    0.014    0.000 target_extension.py:15(__getitem__)
    27581    0.007    0.000    0.007    0.000 {method 'pop' of 'list' objects}
    48321    0.007    0.000    0.007    0.000 event.py:148(is_end)
     8771    0.007    0.000    0.008    0.000 registry.py:67(__getitem__)
     2322    0.007    0.000    0.007    0.000 {built-in method _abc._abc_init}
     7194    0.007    0.000    0.018    0.000 target_extension.py:53(get_local_target)
      969    0.007    0.000    0.020    0.000 instructions.py:551(__init__)
      766    0.007    0.000    0.229    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
2882/1824    0.007    0.000    0.327    0.000 functools.py:979(__get__)
     2283    0.007    0.000    0.035    0.000 builder.py:769(store)
    10580    0.007    0.000    0.013    0.000 enum.py:713(__call__)
       96    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
 1549/333    0.006    0.000    5.690    0.017 compiler_lock.py:32(_acquire_compile_lock)
    88/17    0.006    0.000    4.227    0.249 typeinfer.py:147(propagate)
     6753    0.006    0.000    0.034    0.000 ffi.py:377(__del__)
    18864    0.006    0.000    0.006    0.000 {method 'insert' of 'list' objects}
      658    0.006    0.000    0.011    0.000 enum.py:249(__set_name__)
     6099    0.006    0.000    0.016    0.000 typeconv.py:40(check_compatible)
     4600    0.006    0.000    0.025    0.000 abstract.py:49(_intern)
     1476    0.006    0.000    0.023    0.000 ir.py:592(__repr__)
    46962    0.006    0.000    0.006    0.000 event.py:108(kind)
        7    0.006    0.001    0.006    0.001 {method 'readlines' of '_io._IOBase' objects}
     1172    0.006    0.000    0.035    0.000 typeof.py:27(typeof)
      865    0.006    0.000    0.018    0.000 instructions.py:133(_descr)
    11260    0.006    0.000    0.010    0.000 errors.py:844(new_error_context)
      115    0.006    0.000    0.016    0.000 __init__.py:355(namedtuple)
     3316    0.006    0.000    0.019    0.000 errors.py:488(catch_warnings)
     2003    0.006    0.000    0.012    0.000 numpy_support.py:148(as_dtype)
     2328    0.006    0.000    0.030    0.000 event.py:422(trigger_event)
     1203    0.006    0.000    0.011    0.000 byteflow.py:144(_run_handle_exception)
    21065    0.006    0.000    0.025    0.000 ffi.py:139(__getattr__)
     4409    0.006    0.000    0.012    0.000 artist.py:1549(aliased_name)
     1328    0.006    0.000    0.018    0.000 interpreter.py:1839(store)
     2117    0.006    0.000    0.029    0.000 builder.py:756(load)
       46    0.006    0.000    0.027    0.001 castgraph.py:92(propagate)
      664    0.006    0.000    0.042    0.000 values.py:936(__init__)
      695    0.006    0.000    0.059    0.000 cgutils.py:362(alloca_once)
      120    0.006    0.000    0.209    0.002 artist.py:1593(pprint_setters)
       73    0.006    0.000    0.184    0.003 codegen.py:651(_optimize_functions)
     2496    0.006    0.000    0.011    0.000 analysis.py:66(fix_point_progress)
    17412    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
9787/8702    0.006    0.000    0.025    0.000 misc.py:63(unliteral)
7431/7424    0.006    0.000    0.027    0.000 context.py:540(can_convert)
     7571    0.005    0.000    0.005    0.000 {method 'expandtabs' of 'str' objects}
     2283    0.005    0.000    0.021    0.000 instructions.py:463(__init__)
     1854    0.005    0.000    0.007    0.000 functions.py:245(__init__)
     9831    0.005    0.000    0.015    0.000 types.py:33(__ne__)
     4384    0.005    0.000    0.007    0.000 controlflow.py:368(_add_edge)
    16109    0.005    0.000    0.007    0.000 _utils.py:71(_stringify_metadata)
      740    0.005    0.000    0.009    0.000 typeinfer.py:496(fold_arg_vars)
     1844    0.005    0.000    0.159    0.000 context.py:360(_call_incref_decref)
     1532    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    19336    0.005    0.000    0.005    0.000 controlflow.py:118(successors)
     9860    0.005    0.000    0.008    0.000 ir.py:387(__getattr__)
 3402/243    0.005    0.000    5.644    0.023 compiler_machinery.py:271(check)
    19099    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    22406    0.005    0.000    0.005    0.000 {method 'release' of '_thread.RLock' objects}
     3580    0.005    0.000    0.075    0.000 value.py:157(name)
      126    0.005    0.000    0.019    0.000 analysis.py:291(dead_branch_prune)
6186/6006    0.005    0.000    0.013    0.000 values.py:455(_get_reference)
2254/1475    0.005    0.000    3.589    0.002 templates.py:614(generic)
     3978    0.005    0.000    0.017    0.000 base.py:123(_match)
       42    0.005    0.000    0.064    0.002 byteflow.py:85(run)
        8    0.005    0.001    0.005    0.001 {method 'write' of '_io.BufferedWriter' objects}
     42/3    0.005    0.000    5.660    1.887 compiler_machinery.py:342(run)
      245    0.005    0.000    0.006    0.000 templates.py:1166(make_overload_attribute_template)
     1303    0.005    0.000    0.010    0.000 functools.py:35(update_wrapper)
      546    0.005    0.000    0.009    0.000 controlflow.py:579(_find_back_edges)
    12506    0.005    0.000    0.013    0.000 {built-in method builtins.setattr}
8666/8546    0.005    0.000    0.048    0.000 manager.py:29(lookup)
       42    0.005    0.000    0.039    0.001 lowering.py:371(_find_singly_assigned_variable)
      589    0.005    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
     2981    0.005    0.000    0.058    0.000 value.py:231(is_declaration)
     3710    0.005    0.000    0.007    0.000 types.py:158(__init__)
     3213    0.005    0.000    0.016    0.000 types.py:30(as_pointer)
     4204    0.005    0.000    0.005    0.000 {built-in method _functools.reduce}
     1271    0.005    0.000    0.019    0.000 contextlib.py:567(__exit__)
     2283    0.005    0.000    0.018    0.000 instructions.py:467(descr)
     9097    0.005    0.000    0.006    0.000 __init__.py:1517(debug)
6775/6595    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
     2322    0.004    0.000    0.040    0.000 <frozen abc>:105(__new__)
     1538    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       73    0.004    0.000    0.005    0.000 __init__.py:49(create_string_buffer)
    31240    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
   889/45    0.004    0.000    1.519    0.034 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
3027/2729    0.004    0.000    0.072    0.000 ir_utils.py:1576(guard)
    18767    0.004    0.000    0.004    0.000 compiler.py:355(__getattr__)
     1538    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:372(release)
     4580    0.004    0.000    0.005    0.000 compiler_machinery.py:428(is_registered)
     2329    0.004    0.000    0.025    0.000 values.py:1104(__init__)
      456    0.004    0.000    0.051    0.000 context.py:723(load_additional_registries)
    21433    0.004    0.000    0.004    0.000 values.py:554(_get_name)
     1092    0.004    0.000    0.014    0.000 controlflow.py:396(_eliminate_dead_blocks)
     1336    0.004    0.000    0.007    0.000 numpy_support.py:410(choose_types)
     2117    0.004    0.000    0.021    0.000 instructions.py:434(__init__)
     1164    0.004    0.000    0.005    0.000 contextlib.py:491(push)
 2743/867    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
    42/26    0.004    0.000    4.356    0.168 typed_passes.py:437(run_pass)
      406    0.004    0.000    0.006    0.000 inspect.py:3119(_bind)
  505/339    0.004    0.000    1.905    0.006 lowering.py:1242(lower_expr)
     1741    0.004    0.000    0.007    0.000 inspect.py:747(unwrap)
      172    0.004    0.000    0.036    0.000 inline_closurecall.py:1477(_inline_const_arraycall)
