run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.344, Time: 2.852376 s
         1122328 function calls (1106011 primitive calls) in 3.615 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1039    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      265    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
      503    0.001    0.000    0.002    0.000 _ufunc_config.py:441(__enter__)
     2640    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     2640    0.001    0.000    0.001    0.000 _parser.py:176(append)
        8    0.001    0.000    0.002    0.000 enum.py:1682(convert_class)
      501    0.001    0.000    0.001    0.000 _linalg.py:123(_makearray)
      572    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2686    0.001    0.000    0.001    0.000 util.py:201(__call__)
        1    0.001    0.001    0.006    0.006 artist.py:1(<module>)
    286/4    0.001    0.000    0.740    0.185 <frozen importlib._bootstrap_external>:989(exec_module)
      356    0.001    0.000    0.003    0.000 inspect.py:798(_finddoc)
   404/45    0.001    0.000    0.596    0.013 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     2299    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       64    0.001    0.000    0.005    0.000 deprecation.py:414(make_keyword_only)
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      806    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
     2220    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
      618    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       94    0.001    0.000    0.011    0.000 __init__.py:1447(_preprocess_data)
     4973    0.001    0.000    0.001    0.000 artist.py:1557(<genexpr>)
      511    0.001    0.000    0.001    0.000 {built-in method builtins.print}
       21    0.001    0.000    0.005    0.000 typing.py:2758(__new__)
      410    0.001    0.000    0.001    0.000 enum.py:1541(__and__)
        3    0.001    0.000    0.037    0.012 core.py:1(<module>)
     3493    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
  128/117    0.001    0.000    0.030    0.000 _docstring.py:122(__call__)
      100    0.001    0.000    0.009    0.000 pyplot.py:209(_add_pyplot_note)
     8968    0.001    0.000    0.001    0.000 inspect.py:2782(name)
      445    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
      445    0.001    0.000    0.005    0.000 core.py:519(copy)
      205    0.001    0.000    0.021    0.000 _parser.py:969(parse)
        1    0.001    0.001    0.002    0.002 dviread.py:1(<module>)
     5527    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      230    0.001    0.000    0.003    0.000 overrides.py:83(verify_matching_signatures)
     2881    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
