run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.349, Time: 4.292119 s
         1122328 function calls (1106011 primitive calls) in 5.252 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5527    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     2640    0.001    0.000    0.001    0.000 _parser.py:176(append)
     1236    0.001    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001    0.003    0.003 dviread.py:1(<module>)
   404/45    0.001    0.000    0.766    0.017 <frozen importlib._bootstrap>:1390(_handle_fromlist)
   827/11    0.001    0.000    0.945    0.086 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.001    0.001    0.006    0.006 artist.py:1(<module>)
      230    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      806    0.001    0.000    0.001    0.000 enum.py:837(__setattr__)
     2686    0.001    0.000    0.001    0.000 util.py:201(__call__)
     3061    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      195    0.001    0.000    0.001    0.000 _shape_base_impl.py:633(column_stack)
     2220    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5621    0.001    0.000    0.001    0.000 typing.py:1577(<genexpr>)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      330    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
      456    0.001    0.000    0.018    0.000 artist.py:1530(number_of_parameters)
      356    0.001    0.000    0.002    0.000 inspect.py:788(_findclass)
      503    0.001    0.000    0.002    0.000 _ufunc_config.py:457(__exit__)
     2881    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      445    0.001    0.000    0.006    0.000 core.py:519(copy)
     2660    0.001    0.000    0.001    0.000 _parser.py:256(match)
      120    0.001    0.000    0.251    0.002 artist.py:1832(kwdoc)
      509    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      445    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
      286    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      445    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
     8968    0.001    0.000    0.001    0.000 inspect.py:2782(name)
        8    0.001    0.000    0.002    0.000 enum.py:1682(convert_class)
     1376    0.001    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
      660    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      267    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
  335/329    0.001    0.000    0.053    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      725    0.001    0.000    0.035    0.000 inspect.py:3067(from_callable)
      105    0.001    0.000    0.314    0.003 artist.py:125(__init_subclass__)
      455    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
      533    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      725    0.001    0.000    0.036    0.000 inspect.py:3325(signature)
      858    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      501    0.001    0.000    0.011    0.000 _methods.py:43(_amax)
      634    0.001    0.000    0.001    0.000 enum.py:772(__delattr__)
     1515    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     2389    0.001    0.000    0.001    0.000 _parser.py:164(__len__)
  297/232    0.001    0.000    0.017    0.000 typing.py:378(inner)
       28    0.001    0.000    0.003    0.000 _docstring.py:79(<genexpr>)
        1    0.001    0.001    0.578    0.578 pyplot.py:1(<module>)
      286    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      984    0.001    0.000    0.015    0.000 artist.py:1536(is_alias)
      450    0.001    0.000    0.002    0.000 __init__.py:179(sub)
       37    0.001    0.000    0.001    0.000 function_base.py:25(linspace)
   416/17    0.001    0.000    0.768    0.045 {built-in method builtins.__import__}
        1    0.001    0.001    0.033    0.033 _axes.py:67(Axes)
     1144    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      330    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      200    0.001    0.000    0.018    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
     2409    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1805    0.001    0.000    0.001    0.000 inspect.py:371(isfunction)
     1444    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      205    0.001    0.000    0.015    0.000 _compiler.py:573(_code)
      462    0.001    0.000    0.011    0.000 colors.py:277(to_rgba)
      501    0.001    0.000    0.001    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
     7467    0.001    0.000    0.001    0.000 inspect.py:2794(kind)
     2409    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      623    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      350    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      671    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      321    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      110    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      548    0.001    0.000    0.001    0.000 typing.py:1159(__getattr__)
      426    0.001    0.000    0.012    0.000 rcsetup.py:332(validate_color)
      650    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      681    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
     1597    0.001    0.000    0.001    0.000 typing.py:1227(<genexpr>)
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     1000    0.000    0.000    0.000    0.000 fromnumeric.py:3364(_prod_dispatcher)
       64    0.000    0.000    0.005    0.000 util.py:361(replaced_by_pep8)
      348    0.000    0.000    0.001    0.000 __init__.py:103(find_spec)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      459    0.000    0.000    0.001    0.000 _function_base_impl.py:346(iterable)
      109    0.000    0.000    0.009    0.000 typing.py:673(Union)
     1299    0.000    0.000    0.000    0.000 __init__.py:678(_set)
   274/19    0.000    0.000    0.002    0.000 ast.py:409(generic_visit)
      113    0.000    0.000    0.004    0.000 rcsetup.py:99(f)
       42    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
       91    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      484    0.000    0.000    0.001    0.000 __init__.py:778(__getitem__)
        7    0.000    0.000    0.003    0.000 enum.py:906(_convert_)
       39    0.000    0.000    0.004    0.000 colors.py:1080(from_list)
      689    0.000    0.000    0.001    0.000 enum.py:79(_is_private)
      988    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       65    0.000    0.000    0.002    0.000 core.py:4038(__init__)
      671    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      579    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       39    0.000    0.000    0.002    0.000 colors.py:418(to_rgba_array)
     1390    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      306    0.000    0.000    0.001    0.000 results.py:153(__new__)
     1002    0.000    0.000    0.001    0.000 _linalg.py:128(isComplexType)
      769    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1236    0.000    0.000    0.006    0.000 <frozen abc>:117(__instancecheck__)
      346    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
     22/3    0.000    0.000    0.002    0.001 core.py:4073(streamline)
      467    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      616    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
     1694    0.000    0.000    0.001    0.000 unicode.py:63(<genexpr>)
      392    0.000    0.000    0.001    0.000 inspect.py:2798(replace)
   129/61    0.000    0.000    0.005    0.000 core.py:3972(copy)
      839    0.000    0.000    0.001    0.000 inspect.py:767(_is_wrapper)
     1390    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      354    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      719    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      345    0.000    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
     1387    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       75    0.000    0.000    0.000    0.000 enum.py:995(_find_data_type_)
       19    0.000    0.000    0.008    0.000 rcsetup.py:814(validate_cycler)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      891    0.000    0.000    0.001    0.000 colors.py:218(_is_nth_color)
      230    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
       24    0.000    0.000    0.002    0.000 deprecation.py:126(deprecate)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
     1362    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
  210/199    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      148    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
      434    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       48    0.000    0.000    0.008    0.000 __init__.py:1403(_add_data_doc)
        1    0.000    0.000    0.110    0.110 rcsetup.py:1(<module>)
      110    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      407    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       64    0.000    0.000    0.001    0.000 core.py:4615(__init__)
      198    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
       83    0.000    0.000    0.001    0.000 core.py:3846(__init__)
      670    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      557    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      109    0.000    0.000    0.002    0.000 typing.py:331(_remove_dups_flatten)
      879    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      657    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      541    0.000    0.000    0.002    0.000 __init__.py:164(match)
1306/1300    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      149    0.000    0.000    0.000    0.000 <string>:2(__init__)
      350    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.019    0.009 core.py:198(read_style_directory)
      151    0.000    0.000    0.001    0.000 font_manager.py:989(_json_decode)
       63    0.000    0.000    0.001    0.000 inspect.py:3279(__str__)
      671    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      637    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
      348    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      677    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      589    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
       14    0.000    0.000    0.037    0.003 _docstring.py:73(__missing__)
      689    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
1267/1146    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.011    0.011 run_lebwohl_lasher_p_cython.py:49(init_lattice)
      205    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      346    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      429    0.000    0.000    0.011    0.000 colors.py:223(is_color_like)
     59/7    0.000    0.000    0.005    0.001 core.py:3880(leave_whitespace)
      807    0.000    0.000    0.001    0.000 __init__.py:698(_get)
      505    0.000    0.000    0.000    0.000 _ufunc_config.py:431(__init__)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       58    0.000    0.000    0.003    0.000 core.py:3139(parseImpl)
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
      582    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      677    0.000    0.000    0.000    0.000 enum.py:197(__get__)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1453(_path_hooks)
      161    0.000    0.000    0.002    0.000 inspect.py:3083(replace)
        1    0.000    0.000    0.011    0.011 common.py:8(pyparsing_common)
      236    0.000    0.000    0.002    0.000 typing.py:1130(__init__)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      445    0.000    0.000    0.001    0.000 copyreg.py:98(__newobj__)
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
        1    0.000    0.000    0.044    0.044 colors.py:1(<module>)
        2    0.000    0.000    0.001    0.001 unicode.py:55(_chars_for_ranges)
        1    0.000    0.000    0.017    0.017 Image.py:1(<module>)
     1190    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
      350    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:224(define_aliases)
   274/19    0.000    0.000    0.002    0.000 ast.py:403(visit)
        7    0.000    0.000    0.004    0.001 core.py:2823(__init__)
      554    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        6    0.000    0.000    0.006    0.001 patches.py:2335(pprint_styles)
      221    0.000    0.000    0.001    0.000 {built-in method builtins.any}
    72/12    0.000    0.000    0.006    0.000 core.py:4123(parseImpl)
      546    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     1370    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 getlimits.py:166(_register_known_types)
       19    0.000    0.000    0.002    0.000 core.py:258(_trim_arity)
      806    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       31    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
       28    0.000    0.000    0.001    0.000 __init__.py:1377(getLogger)
       39    0.000    0.000    0.002    0.000 typing.py:732(Literal)
      807    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x7fb3d95c09a0}
       34    0.000    0.000    0.001    0.000 enum.py:500(__prepare__)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
     1054    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
     1167    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.002    0.000 getlimits.py:34(__init__)
      410    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
    45/12    0.000    0.000    0.002    0.000 typing.py:1309(_make_substitution)
      143    0.000    0.000    0.001    0.000 ast.py:419(visit_Constant)
      813    0.000    0.000    0.000    0.000 __init__.py:1000(<lambda>)
      311    0.000    0.000    0.000    0.000 function_base.py:473(_needs_add_docstring)
      356    0.000    0.000    0.000    0.000 inspect.py:299(ismethod)
      149    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
      137    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
      748    0.000    0.000    0.000    0.000 ast.py:257(iter_fields)
       85    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
