run_lebwohl_lasher_p_cython.py: Size: 150, Steps: 500, T*: 0.500: Order: 0.368, Time: 1.215564 s
         1116328 function calls (1100011 primitive calls) in 2.300 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      813    0.000    0.000    0.001    0.000 __init__.py:1000(<lambda>)
      650    0.000    0.000    0.000    0.000 functools.py:65(wraps)
     1390    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      501    0.000    0.000    0.000    0.000 _linalg.py:192(_assert_stacked_2d)
      769    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
      109    0.000    0.000    0.007    0.000 typing.py:673(Union)
      205    0.000    0.000    0.012    0.000 _compiler.py:573(_code)
       19    0.000    0.000    0.007    0.000 rcsetup.py:814(validate_cycler)
      434    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      230    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      891    0.000    0.000    0.001    0.000 colors.py:218(_is_nth_color)
      288    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1387    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      345    0.000    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1517(find_spec)
      200    0.000    0.000    0.014    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
      261    0.000    0.000    0.003    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
      719    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       39    0.000    0.000    0.003    0.000 typing.py:732(Literal)
      507    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      350    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
      579    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      459    0.000    0.000    0.001    0.000 _function_base_impl.py:346(iterable)
      504    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      348    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      671    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      879    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      286    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       75    0.000    0.000    0.000    0.000 enum.py:995(_find_data_type_)
       64    0.000    0.000    0.003    0.000 util.py:361(replaced_by_pep8)
      110    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.022    0.022 _axes.py:67(Axes)
       28    0.000    0.000    0.002    0.000 _docstring.py:79(<genexpr>)
      839    0.000    0.000    0.000    0.000 inspect.py:767(_is_wrapper)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      392    0.000    0.000    0.001    0.000 inspect.py:2798(replace)
      148    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
      346    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      445    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.037    0.019 core.py:198(read_style_directory)
      484    0.000    0.000    0.001    0.000 __init__.py:778(__getitem__)
      657    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       65    0.000    0.000    0.001    0.000 core.py:4038(__init__)
     78/4    0.000    0.000    0.002    0.000 core.py:973(_parseCache)
       63    0.000    0.000    0.001    0.000 inspect.py:3279(__str__)
      429    0.000    0.000    0.013    0.000 colors.py:223(is_color_like)
      546    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
      557    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      151    0.000    0.000    0.001    0.000 font_manager.py:989(_json_decode)
      616    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      671    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       24    0.000    0.000    0.001    0.000 deprecation.py:126(deprecate)
      107    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
     1362    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      236    0.000    0.000    0.002    0.000 typing.py:1130(__init__)
      503    0.000    0.000    0.001    0.000 _ufunc_config.py:457(__exit__)
      689    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       48    0.000    0.000    0.006    0.000 __init__.py:1403(_add_data_doc)
      541    0.000    0.000    0.001    0.000 __init__.py:164(match)
        1    0.000    0.000    0.139    0.139 rcsetup.py:1(<module>)
     22/3    0.000    0.000    0.001    0.000 core.py:4073(streamline)
1306/1300    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      346    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
     1002    0.000    0.000    0.000    0.000 _linalg.py:128(isComplexType)
      670    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      350    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
     1597    0.000    0.000    0.000    0.000 typing.py:1227(<genexpr>)
      286    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      501    0.000    0.000    0.004    0.000 _methods.py:43(_amax)
     1236    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
      807    0.000    0.000    0.000    0.000 __init__.py:698(_get)
      582    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
     1694    0.000    0.000    0.000    0.000 unicode.py:63(<genexpr>)
      221    0.000    0.000    0.001    0.000 {built-in method builtins.any}
  210/199    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      407    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
       39    0.000    0.000    0.000    0.000 typing.py:347(_flatten_literal_params)
        2    0.000    0.000    0.001    0.000 unicode.py:55(_chars_for_ranges)
      988    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      533    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      311    0.000    0.000    0.001    0.000 function_base.py:491(_add_docstring)
      637    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
     1370    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.083    0.083 colors.py:1(<module>)
      149    0.000    0.000    0.000    0.000 <string>:2(__init__)
       42    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
      205    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      677    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
1267/1146    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1641(_fill_cache)
        1    0.000    0.000    0.001    0.001 __init__.py:842(copy)
      554    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      109    0.000    0.000    0.002    0.000 typing.py:331(_remove_dups_flatten)
       52    0.000    0.000    0.000    0.000 core.py:928(__init__)
       25    0.000    0.000    0.001    0.000 dtypes.py:30(_add_dtype_helper)
   274/19    0.000    0.000    0.001    0.000 ast.py:403(visit)
     1167    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
       64    0.000    0.000    0.001    0.000 core.py:4615(__init__)
     1054    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
   129/61    0.000    0.000    0.003    0.000 core.py:3972(copy)
       19    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
       85    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        6    0.000    0.000    0.005    0.001 patches.py:2335(pprint_styles)
      690    0.000    0.000    0.000    0.000 _mathtext_data.py:1724(<genexpr>)
       83    0.000    0.000    0.001    0.000 core.py:3846(__init__)
      501    0.000    0.000    0.000    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
  492/408    0.000    0.000    0.000    0.000 typing.py:1239(__hash__)
     1190    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      149    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
      501    0.000    0.000    0.000    0.000 _linalg.py:1236(_eigvalsh_dispatcher)
      350    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
       29    0.000    0.000    0.001    0.000 typing.py:1030(_generic_class_getitem)
