lebwohl_lasher_s_numba.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.368, Time: 11.546142 s
         2352399 function calls (2288376 primitive calls) in 13.533 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.002    0.000    0.017    0.000 enum.py:515(__new__)
   583/45    0.002    0.000    1.352    0.030 <frozen importlib._bootstrap_external>:989(exec_module)
  584/578    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     8147    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
        6    0.002    0.000    0.008    0.001 postproc.py:179(_patch_var_dels)
     1086    0.002    0.000    0.003    0.000 extending.py:62(overload)
      468    0.002    0.000    0.005    0.000 typing.py:175(_type_check)
       32    0.002    0.000    0.002    0.000 ffi.py:10(_make_opaque_ref)
     1000    0.002    0.000    0.016    0.000 fromnumeric.py:3369(prod)
     1573    0.002    0.000    0.003    0.000 context.py:492(_insert_global)
      540    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     5876    0.002    0.000    0.003    0.000 _parser.py:261(get)
     4016    0.002    0.000    0.002    0.000 inspect.py:3062(<genexpr>)
      904    0.002    0.000    0.003    0.000 inspect.py:175(get_annotations)
     2056    0.002    0.000    0.007    0.000 base.py:368(insert_func_defn)
    54/27    0.002    0.000    0.393    0.015 compiler_machinery.py:267(_runPass)
  312/136    0.002    0.000    0.207    0.002 lowering.py:455(lower_inst)
     7921    0.002    0.000    0.002    0.000 {method '__contains__' of 'frozenset' objects}
     3813    0.002    0.000    0.036    0.000 ir.py:354(list_vars)
       95    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     7139    0.002    0.000    0.002    0.000 _parser.py:240(__next)
     1768    0.002    0.000    0.003    0.000 _utils.py:24(deduplicate)
        2    0.002    0.001    0.002    0.001 {built-in method _pickle.load}
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
      259    0.002    0.000    0.029    0.000 context.py:723(load_additional_registries)
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
      260    0.002    0.000    0.011    0.000 typing.py:1223(__init__)
       18    0.002    0.000    0.004    0.000 analysis.py:118(compute_dead_maps)
  490/227    0.002    0.000    0.027    0.000 _parser.py:452(_parse_sub)
     4028    0.002    0.000    0.004    0.000 event.py:100(__init__)
  642/635    0.002    0.000    0.057    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      842    0.001    0.000    0.003    0.000 functions.py:78(add_error)
      636    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
     4032    0.001    0.000    0.002    0.000 event.py:66(_guard_kind)
      271    0.001    0.000    0.005    0.000 typing.py:262(_collect_parameters)
        1    0.001    0.001    0.001    0.001 {method 'close' of '_io.TextIOWrapper' objects}
     1200    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
     2338    0.001    0.000    0.003    0.000 typing.py:1117(_is_dunder)
        1    0.001    0.001    0.009    0.009 lebwohl_lasher_s_numba.py:151(save_data)
2152/2139    0.001    0.000    0.005    0.000 {built-in method builtins.any}
  1606/56    0.001    0.000    1.352    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     4070    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      504    0.001    0.000    0.001    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
     1749    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1533    0.001    0.000    0.002    0.000 contextlib.py:104(__init__)
     3529    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        2    0.001    0.001    0.007    0.003 lowering.py:371(_find_singly_assigned_variable)
     7346    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     1196    0.001    0.000    0.004    0.000 base.py:123(_match)
     1485    0.001    0.000    0.004    0.000 typeconv.py:40(check_compatible)
      672    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     4551    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
